,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
85,García Harfuch fue notificado de lo que pasó en Iguala; narcos decían que sobornaban a un 'Omarcito': Anabel Hernández https://t.co/SbnRP6lOE1 https://t.co/fZAospSks7,AristeguiOnline,Hootsuite Inc.,169,531
86,"Ganan comunidades yucatecas suspensión provisional contra Tren Maya
https://t.co/FHSoiXaFiR https://t.co/2PrVLGcNJp",AristeguiOnline,Hootsuite Inc.,169,875
87,"El 4 de abril debe suspenderse transmisión íntegra de conferencias de AMLO: Lorenzo Córdova
https://t.co/UkZx6ohCBB https://t.co/psfk4jRBJb",AristeguiOnline,Twitter for iPhone,167,990
88,"Confirma AMLO que Cienfuegos es parte del consejo asesor de Luis Cresencio Sandoval
https://t.co/XA2VuUYH6v https://t.co/EJrgAC62Iz",AristeguiOnline,Hootsuite Inc.,165,395
89,"Walmart sí ofreció ayuda al gobierno para distribuir, no vender, las vacunas anti-Covid https://t.co/7O6VMPZWVF https://t.co/Zq24VJNrBA",AristeguiOnline,Hootsuite Inc.,165,1186
90,Fiscalía de CDMX acusa al diputado Mauricio Toledo de enriquecimiento ilícito https://t.co/8ctgJxzam5 https://t.co/taafJzORSo,AristeguiOnline,Hootsuite Inc.,164,452
91,Descubren que las 'espinas' del coronavirus están cubiertas de azúcar | Video https://t.co/c9JiXfA0sD https://t.co/lLCUk1Mg9X,AristeguiOnline,Hootsuite Inc.,164,302
92,Difunden foto de AMLO trabajando; pacta con Putin envío de 24 millones de vacunas Sputnik V a México https://t.co/F2U38Cmgvy https://t.co/UI1hDOaEUO,AristeguiOnline,Hootsuite Inc.,162,1217
93,"Suspende Twitter cuentas afines a AMLO; 'no permitimos spam ni manipulación', argumenta
https://t.co/1pZBh1PR1Z https://t.co/kLjxipJZVd",AristeguiOnline,Hootsuite Inc.,162,695
94,El teletrabajo debe ser pactado por ambas partes e implica pago de insumos: Alcalde https://t.co/ibqZ7V1YOr https://t.co/ckppQkgR6J,AristeguiOnline,Hootsuite Inc.,157,365
95,#AristeguiEnVivo | He dado instrucciones para que hoy mismo se emita un comunicado estableciendo que cualquier empresa o gobierno local que quiera adquirir vacunas tiene autorización. Sólo deberán anexan a la solicitud el contrato de adquisición: AMLO https://t.co/UwOCI7zn0G https://t.co/XJ0mL6wpUN,AristeguiOnline,Hootsuite Inc.,156,721
96,"Twitter suspendió el jueves a un número indeterminado de cuentas, pero lo que más llamó la atención en redes fue la baja de algunas afines al gobierno de Andrés Manuel López Obrador https://t.co/eR8CFGkKE4 https://t.co/SLmQe5jOPd",AristeguiOnline,Hootsuite Inc.,155,503
97,"Muere alumno por Covid-19 en el Hospital General de Ecatepec; UNAM retira a internos
https://t.co/btrUuB1Jze https://t.co/yeK5elg088",AristeguiOnline,Hootsuite Inc.,155,433
98,"Es ridículo señalamiento de AMLO, nosotros no inventamos pruebas: exdirectivo de la DEA https://t.co/CxnJkwAz63 https://t.co/u9StEVluL7",AristeguiOnline,Hootsuite Inc.,155,460
99,Hay prepotencia y arrogancia en fundador de Facebook al justificar censura a Trump: AMLO https://t.co/BF3hexZr1c https://t.co/yow4Jma2Wo,AristeguiOnline,Hootsuite Inc.,154,770
100,#ÚltimaHora Alemania exige a viajeros mexicanos y de otros 19 países prueba negativa de Covid-19 https://t.co/P6OADPnFyO https://t.co/b3xFT44s1a,AristeguiOnline,Hootsuite Inc.,154,626
101,"#LoMejordeAristeguienVivo | Existen pruebas contundentes contra Cienfuegos; se protege a un oficial corrupto: exdirectivo de la DEA | #Video
https://t.co/8vbJhUMK42 https://t.co/pFRTy6V44E",AristeguiOnline,Hootsuite Inc.,148,468
102,"Publicar expediente Cienfuegos viola tratado y pone en duda si EU compartirá información con México: Departamento de Justicia
https://t.co/5fBdBbhzEP https://t.co/D4bXj2aCNm",AristeguiOnline,Hootsuite Inc.,147,419
103,AstraZeneca y Pfizer dicen a gobernadores que no podrán venderles vacunas antes de diciembre https://t.co/bnC3DI3Iy6 https://t.co/GoAsj0dtyt,AristeguiOnline,Hootsuite Inc.,147,513
104,#ÚltimaHora Muere el periodista Larry King a los 87 años https://t.co/MxTyqlVwz1 https://t.co/RQbDFhJIVm,AristeguiOnline,Hootsuite Inc.,146,576
