,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
189,POR FAVOR... https://t.co/ahbIdtHrcf,SoloReflexiones,TweetDeck,1543,3425
190,"Cuando existen las ganas, todo se puede.",SoloReflexiones,Twitter for Android,1542,1149
191,"""No te rindas, si todo fuera fácil cualquiera lo haría.""",SoloReflexiones,TweetDeck,1541,778
192,El “ te veo bien “ de una amiga que te vio echa pedazos es lo mejor sin dudas♥️,SoloReflexiones,TweetDeck,1541,4245
193,“Ella es fuerte. Ella es una guerrera. Ella es mi madre.” Bob Marley,SoloReflexiones,Hootsuite,1528,1228
194,"A veces no estoy bien, pero sonrío.",SoloReflexiones,Hootsuite,1521,938
195,"Necesito verte, necesito que me sonrías, necesito que me abraces, necesito que me beses, necesito que estés ahí, necesito que me necesites.",SoloReflexiones,TweetDeck,1520,789
196,"“Miro, me duele, me callo y sonrío.”",SoloReflexiones,Hootsuite,1519,976
197,https://t.co/Wvnt7NnB1e,SoloReflexiones,TweetDeck,1517,3907
198,"Te quiero aquí conmigo, no en mi mente.",SoloReflexiones,TweetDeck,1516,678
199,"""A veces esperamos demasiado de otras personas, solo porque nosotros estaríamos dispuestos a hacer mucho más por ellos.""",SoloReflexiones,TweetDeck,1513,663
200,"No me entiendo. Estoy bien, me río y me divierto, pero en el fondo siento un vacío que no desaparece aunque esté riendo a carcajadas.",SoloReflexiones,Hootsuite,1506,1130
201,“Todo llega para el que sabe esperar.”,SoloReflexiones,Hootsuite,1505,1021
202,“Dicen que las cosas suceden por alguna razón.”,SoloReflexiones,Hootsuite,1505,870
203,"Como dice el fotógrafo, sonría y levante la cara.",SoloReflexiones,Hootsuite,1498,963
204,"Reglas de la vida: 

• No prometas lo que no vas a cumplir. 

• No enamores cuando no amas. 

• No digas “Ok” cuando te dicen “te amo”.",SoloReflexiones,TweetDeck,1498,1315
205,"""Piensa en lo que vas a perder antes de actuar.""",SoloReflexiones,TweetDeck,1498,912
206,"Sin un poco de locura, no hay felicidad.",SoloReflexiones,Twitter for Android,1493,959
207,“Pedir disculpas no siempre significa que estás equivocado Solo significa que valoras tu relación más que tu ego.”,SoloReflexiones,Hootsuite,1492,1130
208,A veces es mejor respirar profundo y quedarse callado.,SoloReflexiones,Twitter for Android,1489,933
209,"""Vamos a reírnos de todo, porque la tristeza no se cura con mas tristeza."" - Bob Marley",SoloReflexiones,TweetDeck,1487,944
210,“Soy de los que se ríen en los momentos serios.”,SoloReflexiones,Hootsuite,1486,917
211,"Muchas veces las personas no se dan cuenta de todo lo que hacemos por ellas, hasta que dejamos de hacerlo.",SoloReflexiones,Twitter for Android,1480,1172
212,"""Nunca digas nunca, la vida da mil vueltas.""",SoloReflexiones,TweetDeck,1476,596
213,"Una actitud cambia todo, acaba todo o inicia algo.",SoloReflexiones,TweetDeck,1476,2696
214,"""Espera de mí, lo que recibo de ti.""",SoloReflexiones,TweetDeck,1474,639
215,"""Para mi nunca va a existir una mejor mamá que la que me tocó, la elegiría en mil vidas más.""",SoloReflexiones,Twitter for Android,1472,2629
216,"""Lo vivido juntos no nos lo quita nadie.""",SoloReflexiones,TweetDeck,1471,1020
217,Quiérete y suelta a quien te soltó,SoloReflexiones,TweetDeck,1469,5595
218,“Se vive mejor sin esperar nada de nadie.”,SoloReflexiones,Hootsuite,1468,880
219,"""Lo fácil aburre, lo difícil atrae, lo imposible obsesiona.""",SoloReflexiones,TweetDeck,1466,942
220,"""Perdí mi dignidad al mandarte ese último mensaje, pero tú perdiste a alguien que no le importó perder la dignidad con tal de no perderte",SoloReflexiones,TweetDeck,1464,1581
